#,Ticker,Price,DCF Price,DCF Diff %,Target Price,Target Diff %,# Targets,Consensus Rating,# Ratings,Expected Return,Financial Score,Piotroski Score,PE ratio,PEG ratio,Insiders Change,Institutional Change,Senate Change
383,GNRC,149.48,143.96,-3.7,175.00,17.1,3,-,0,-,3,8,30.5,1.31,0.00%,6.51%,-
384,BLDR,172.39,228.66,32.6,197.50,14.6,2,-,0,-,3,6,16.2,-1.59,3.68%,6.01%,-
385,AIG,75.94,22.45,-70.4,87.00,14.6,1,-,0,-,2,5,19.7,-0.43,43.43%,-6.87%,-
386,WMB,55.12,49.94,-9.4,62.00,12.5,1,-,0,-,3,4,23.4,13.54,0.00%,-14.93%,-
387,DUK,110.87,-,-,124.00,11.8,1,-,0,-,3,5,19.8,15.86,3.46%,1.36%,100
388,AXON,634.86,70.45,-88.9,700.00,10.3,1,-,0,-,2,4,161.4,62.28,0.00%,-26.38%,-
389,D,55.51,-,-,61.00,9.9,2,-,0,-,3,5,19.2,0.38,100.00%,1.28%,66
390,JBHT,173.35,35.51,-79.5,190.00,9.6,1,-,0,-,3,7,30.7,-5.99,0.00%,-0.22%,-
391,WBA,11.26,-,-,12.00,6.6,1,-,0,-,2,3,-1.1,0.48,97.77%,-35.61%,-
392,DFS,201.29,138.02,-31.4,214.00,6.3,1,-,0,-,3,7,15.8,1.61,33.75%,-4.49%,-
393,FIS,81.11,38.82,-52.1,86.00,6.0,1,-,0,-,2,8,60.1,0.07,-,23.66%,-
394,ZBH,111.47,86.47,-22.4,117.00,5.0,1,-,0,-,3,8,20.8,2.22,58.06%,-5.66%,100
395,ROL,49.34,39.80,-19.3,50.00,1.3,1,-,0,-,3,7,50.9,24.18,0.00%,0.34%,100
396,TYL,608.45,425.03,-30.1,615.00,1.1,1,-,0,-,3,7,109.8,8.17,33.33%,-29.63%,-
397,MO,52.65,67.35,27.9,53.00,0.7,2,-,0,-,2,7,8.7,4.21,100.00%,-1.06%,-
398,ALL,192.09,-,-,187.00,-2.6,1,-,0,-,3,5,12.0,0.31,1.89%,-2.17%,0
399,SOLV,74.83,-,-,70.00,-6.5,1,-,0,-,2,5,24.9,-1.04,42.29%,-,-
400,AMP,573.93,626.01,9.1,509.00,-11.3,1,-,0,-,3,7,21.3,-1.96,100.00%,0.25%,100
401,CF,91.98,-,-,79.00,-14.1,1,-,0,-,3,6,14.1,1.13,71.39%,0.99%,-
402,FOX,48.09,81.83,70.2,40.00,-16.8,1,-,0,-,4,7,12.2,0.40,0.00%,36.24%,-
403,CB,278.23,806.51,189.9,-,-,0,-,0,-,3,6,11.2,3.57,0.00%,1.67%,-
404,BWA,32.66,90.12,175.9,-,-,0,-,0,-,4,7,8.1,0.30,0.00%,8.98%,-
405,ELV,401.64,1095.06,172.7,-,-,0,-,0,-,3,7,15.7,0.02,0.00%,-1.74%,-
406,PGR,247.37,653.87,164.3,-,-,0,-,0,-,3,4,17.9,1.01,39.45%,-3.61%,-
407,BEN,20.31,50.85,150.4,-,-,0,-,0,-,2,5,22.6,-0.48,100.00%,8.60%,50
408,NUE,127.37,315.69,147.8,-,-,0,-,0,-,3,6,14.7,-0.79,9.64%,-73.10%,-
409,BXP,70.53,156.58,122.0,-,-,0,-,0,-,2,4,30.6,0.26,0.00%,-11.63%,-
410,MTB,201.46,432.44,114.7,-,-,0,-,0,-,3,6,14.1,48.80,13.81%,-64.36%,-
411,AIZ,218.92,411.42,87.9,-,-,0,-,0,-,3,6,15.4,-2.35,100.00%,-27.15%,-
412,TFC,47.68,88.18,85.0,-,-,0,-,0,-,3,5,-41.1,-3.25,-,-11.94%,-
413,L,86.67,159.35,83.8,-,-,0,-,0,-,3,5,11.4,1.09,100.00%,-15.77%,-
414,STLD,128.47,215.15,67.5,-,-,0,-,0,-,3,5,12.7,-1.11,9.44%,4.90%,-
