symbol,name,sector,subSector,headQuarter,founded
BSX,Boston Scientific,Healthcare,Medical - Devices,"Marlborough, Massachusetts",1979
PARA,Paramount Global,Communication Services,Entertainment,"New York City, New York",2019
LUV,Southwest Airlines,Industrials,"Airlines, Airports & Air Services","Dallas, Texas",1967
KEY,KeyCorp,Financial Services,Banks - Regional,"Cleveland, Ohio",1825
EMN,Eastman Chemical Company,Basic Materials,Chemicals - Specialty,"Kingsport, Tennessee",1920
MS,Morgan Stanley,Financial Services,Financial - Capital Markets,"New York City, New York",1935
IPG,Interpublic Group of Companies (The),Communication Services,Advertising Agencies,"New York City, New York",1961
AEE,Ameren,Utilities,Regulated Electric,"St. Louis, Missouri",1902
K,Kellanova,Consumer Defensive,Food Confectioners,"Chicago, Illinois",1906
ORCL,Oracle Corporation,Technology,Software - Infrastructure,"Austin, Texas",1977
GL,Globe Life,Financial Services,Insurance - Life,"McKinney, Texas",1900
ECL,Ecolab,Basic Materials,Chemicals - Specialty,"Saint Paul, Minnesota",1923
C,Citigroup,Financial Services,Banks - Diversified,"New York City, New York",1998
PNC,PNC Financial Services,Financial Services,Banks - Regional,"Pittsburgh, Pennsylvania",1845
AVY,Avery Dennison,Industrials,Business Equipment & Supplies,"Mentor, Ohio",1990
MMC,Marsh McLennan,Financial Services,Insurance - Brokers,"New York City, New York",1905
SYY,Sysco,Consumer Defensive,Food Distribution,"Houston, Texas",1969
MDT,Medtronic,Healthcare,Medical - Devices,"Dublin, Ireland",1949
ITW,Illinois Tool Works,Industrials,Industrial - Machinery,"Glenview, Illinois",1912
PH,Parker Hannifin,Industrials,Industrial - Machinery,"Cleveland, Ohio",1917
DOV,Dover Corporation,Industrials,Industrial - Machinery,"Downers Grove, Illinois",1955
TJX,TJX Companies,Consumer Cyclical,Apparel - Retail,"Framingham, Massachusetts",1987
CNP,CenterPoint Energy,Utilities,Regulated Electric,"Houston, Texas",1882
RVTY,Revvity,Healthcare,Medical - Diagnostics & Research,"Waltham, Massachusetts",1937
APD,Air Products,Basic Materials,Chemicals - Specialty,"Upper Macungie Township, Pennsylvania",1940
NUE,Nucor,Basic Materials,Steel,"Charlotte, North Carolina",1940
BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers,"Broomfield, Colorado",1880
HAS,Hasbro,Consumer Cyclical,Leisure,"Pawtucket, Rhode Island",1923
HES,Hess Corporation,Energy,Oil & Gas Exploration & Production,"New York City, New York",1919
