ticker,signal,signal_date,tier,region,price_at_signal,future_price,stock_return,spy_return,alpha,net_alpha,round_trip_cost,beta,stock_return_eur,spy_return_eur,alpha_eur,beta_adj_alpha_eur,regional_benchmark,regional_benchmark_return,regional_alpha,suggested_horizon_days,horizon
SYK,B,2026-06-24,large,us,312.8448181152344,337.42999267578125,7.8585845559670044,4.816977769165176,3.041606786801829,2.8016067868018286,0.24,0.2014535650198588,6.199166261982247,3.20435498956535,2.9948112724168974,5.553637525745135,SPY,4.816977769165176,3.041606786801829,90.0,30
0175.HK,B,2026-06-24,large,hk,17.559999465942383,18.559999465942383,5.694760993242055,4.816977769165176,0.8777832240768797,0.6377832240768797,0.24,,4.0179463053907405,3.20435498956535,0.8135913158253905,,2800.HK,9.243700980938213,-3.5489399876961576,90.0,30
SU.PA,H,2026-06-24,large,eu,280.5,300.3999938964844,7.0944719773562825,4.816977769165176,2.277494208191107,2.0374942081911067,0.24,1.7049159609555327,7.094471977356287,3.427414438233223,3.667057539123064,1.2510183968030244,EXS1.DE,5.562357596166077,1.5321143811902056,90.0,30
BARC.L,B,2026-06-24,mid,eu,507.1432800292969,527.4409790039062,4.00235984068187,4.816977769165176,-0.8146179284833055,-1.1746179284833054,0.36,0.9786146288327181,4.5712875663604935,3.427414438233223,1.1438731281272707,1.2171696580329892,ISF.L,4.307630637175705,-0.3052707964938346,7.0,30
ACN,H,2026-06-24,mid,us,127.61551666259766,171.11000061035156,34.08244160680622,4.816977769165176,29.265463837641043,28.905463837641044,0.36,-0.13772852981269454,32.01956587539865,3.20435498956535,28.8152108858333,32.460896977109456,SPY,4.816977769165176,29.265463837641043,90.0,30
6702.T,H,2026-06-24,mega,us,3232.0,3579.0,10.736386138613861,4.816977769165176,5.919408369448686,5.739408369448686,0.18,,11.794861407946522,3.20435498956535,8.590506418381171,,SPY,4.816977769165176,5.919408369448686,90.0,30
VRTX,B,2026-06-24,large,us,475.20001220703125,484.0299987792969,1.8581621097304706,4.816977769165176,-2.958815659434705,-3.198815659434705,0.24,0.45805408393838376,0.2910610922973511,3.20435498956535,-2.913293897267999,-1.1767067970613945,SPY,4.816977769165176,-2.958815659434705,90.0,30
JPM,H,2026-06-24,mega,us,331.95458984375,356.29998779296875,7.33395431003923,4.816977769165176,2.5169765408740545,2.3369765408740544,0.18,0.48754288142116464,5.68260752034182,3.20435498956535,2.4782525307764702,4.120347055632844,SPY,4.816977769165176,2.5169765408740545,90.0,30
GILD,B,2026-06-24,large,us,125.16000366210938,130.86000061035156,4.5541680900156365,4.816977769165176,-0.2628096791495391,-0.5028096791495391,0.24,0.5785797600059929,2.945588671370447,3.20435498956535,-0.2587663181949029,1.091613730533721,SPY,4.816977769165176,-0.2628096791495391,90.0,30
AIR.PA,H,2026-06-24,large,eu,195.10000610351562,214.9499969482422,10.174264594432975,4.816977769165176,5.357286825267799,5.117286825267799,0.24,0.9780469212116951,10.17426459443298,3.427414438233223,6.746850156199757,6.822092455402466,EXS1.DE,5.562357596166077,4.611906998266898,90.0,30
7269.T,B,2026-06-24,mega,us,1883.5,1977.5,4.990708786833023,4.816977769165176,0.1737310176678477,-0.006268982332152284,0.18,,5.9942639202059445,3.20435498956535,2.7899089306405944,,SPY,4.816977769165176,0.1737310176678477,90.0,30
TSLA,H,2026-06-24,mega,us,375.5299987792969,319.5299987792969,-14.912257391429284,4.816977769165176,-19.72923516059446,-19.90923516059446,0.18,1.9116521724905728,-16.221343332616122,3.20435498956535,-19.42569832218147,-22.34695550984973,SPY,4.816977769165176,-19.72923516059446,90.0,30
